FICE,name,state,fullsal,assosal,assisal,allsal,numfull,numasso,numassi,numinst,numfac,region
1061,Alaska Pacific University,AK,454,382,362,382,6,11,9,4,32,other
1063,Univ.Alaska-Fairbanks,AK,686,560,432,508,74,125,118,40,404,other
1065,Univ.Alaska-Southeast,AK,533,494,329,415,9,26,20,9,70,other
11462,Univ.Alaska-Anchorage,AK,612,507,414,498,115,124,101,21,392,other
1002,Alabama Agri.&Mech. Univ.,AL,442,369,310,350,59,77,102,24,262,other
1004,University of Montevallo,AL,441,385,310,388,57,33,35,2,127,other
1008,Athens State College,AL,466,394,351,396,20,18,30,0,68,other
1009,Auburn University- Main,AL,580,437,374,455,366,354,301,66,1109,other
1012,Birmingham Southern College,AL,498,379,322,401,34,25,27,3,89,other
1016,Univ. of North Alabama,AL,506,412,359,411,67,40,66,27,200,other
1019,Huntingdon College,AL,339,303,287,301,8,15,19,2,44,other
1020,Jacksonville State Univ.,AL,461,389,338,386,106,42,66,58,272,other
1024,Livingston University,AL,360,304,258,300,27,25,33,4,89,other
1029,University of Mobile,AL,354,321,277,291,17,19,31,19,86,other
1033,Oakwood College,AL,301,290,283,290,18,28,28,3,77,other
1036,Samford University,AL,565,425,363,449,83,46,77,9,215,other
1041,Spring Hill College,AL,431,352,311,373,23,17,14,1,55,other
1044,Stillman College,AL,321,288,251,272,13,18,18,10,59,other
1047,Troy State University-Main,AL,462,385,322,350,25,59,100,19,204,other
1050,Tuskegee University,AL,410,352,306,327,57,65,85,45,254,other
1051,University of Alabama,AL,605,447,382,463,267,206,206,76,762,other
1052,Univ. Alabama at Birmingham,AL,633,445,366,461,106,163,107,19,406,other
1055,Univ. Alabama in Huntsville,AL,636,443,375,451,72,87,98,7,282,other
1057,University of South Alabama,AL,542,426,370,418,119,103,142,64,434,other
8310,Auburn Univ. at Montgomery,AL,519,422,343,403,56,54,63,28,201,other
1085,Univ. Ark. at Monticello,AR,453,363,330,349,23,24,48,22,117,other
1086,Univ. Arkansas at Pine Bluff,AR,406,366,332,335,40,33,71,46,192,other
1088,Arkansas College (Lyon College),AR,499,NA,330,399,14,5,21,2,42,other
1089,Arkansas Tech University,AR,439,381,337,374,44,71,52,13,180,other
1090,Arkansas State Univ.-Main,AR,520,433,342,398,103,87,141,63,394,other
1092,Univ. of Central Arkansas,AR,521,416,339,395,93,89,82,76,340,other
1094,University of the Ozarks,AR,309,280,274,285,14,9,15,2,40,other
1098,Henderson State University,AR,447,375,341,375,55,42,33,25,155,other
1099,Hendrix College,AR,485,399,362,421,24,26,14,1,65,other
1100,John Brown University,AR,372,338,304,341,23,22,10,3,58,other
1101,Univ. Ark. at Little Rock,AR,536,416,372,415,128,117,72,63,398,other
1102,Ouachita Baptist University,AR,422,355,289,342,36,14,28,19,97,other
1106,Williams Baptist College,AR,NA,NA,264,266,4,4,12,4,24,other
1107,Southern Ark. Univ.-Main,AR,461,389,321,362,27,31,34,23,115,other
1108,Univ. Arkansas-Fayetteville,AR,563,436,379,452,314,198,225,54,806,other
10311,Harding University,AR,424,374,335,380,80,46,41,8,179,other
1074,Grand Canyon University,AZ,358,328,274,299,20,18,24,12,74,other
1081,Arizona State University,AZ,603,449,399,489,576,445,251,7,1383,other
1082,Northern Arizona University,AZ,511,422,359,412,173,192,175,33,608,other
1083,University of Arizona,AZ,648,462,411,537,647,377,272,2,1349,other
1117,Azusa Pacific University,CA,430,375,318,368,43,62,32,12,156,other
1122,Biola University,CA,455,369,303,370,32,57,31,6,126,other
1131,California Inst. of Tech.,CA,970,733,576,866,173,40,44,0,257,other
1133,California Lutheran Univ.,CA,477,392,335,398,32,21,33,6,92,other
1137,Cal.St.Univ-Fullerton,CA,605,493,387,544,393,120,105,5,623,other
1138,Cal.St.Univ-Hayward,CA,606,491,384,552,258,69,49,7,383,other
1139,Cal.St.Univ-Long Beach,CA,600,474,401,542,491,171,112,6,780,other
1141,Cal.St.Univ-Dominguez Hills,CA,605,472,392,548,178,52,37,1,268,other
1143,Cal.Poly.St.U-Sn Luis Obispo,CA,607,496,394,571,507,102,60,1,670,other
1144,Cal.Poly.St.Univ-Pomona,CA,610,492,408,559,411,116,79,4,610,other
1146,Cal.St.Univ-Chico,CA,604,482,395,558,413,86,73,2,574,other
1147,Cal.St.Univ-Fresno,CA,603,476,382,553,459,109,67,14,649,other
1149,Humboldt State University,CA,593,468,387,543,213,38,50,0,301,other
1151,San Diego State University,CA,602,479,403,547,576,223,100,10,909,other
1155,San Jose State University,CA,598,486,404,528,431,222,158,8,819,other
1156,Sonoma State University,CA,602,459,380,553,170,34,29,0,233,other
1164,Chapman University,CA,578,470,420,491,38,37,36,0,111,other
1170,Claremont McKenna College,CA,716,516,411,601,36,16,12,2,67,other
1171,Harvey Mudd College,CA,771,579,454,638,34,14,20,0,68,other
1172,Pitzer College,CA,652,439,381,547,31,10,13,0,54,other
1173,Pomona College,CA,730,525,417,566,60,52,40,7,161,other
1174,Scripps College,CA,611,458,372,511,28,10,15,1,54,other
1179,College of Notre Dame,CA,524,421,374,448,25,16,15,3,59,other
1183,Holy Names College,CA,484,394,275,368,10,22,18,1,51,other
1216,University of La Verne,CA,482,392,326,401,41,28,41,0,110,other
1238,Mills College,CA,593,461,407,492,28,16,23,2,70,other
1249,Occidental College,CA,624,469,388,490,49,42,33,15,139,other
1253,Fresno Pacific College,CA,NA,NA,NA,361,0,0,0,0,54,other
1258,Pacific Union College,CA,362,333,315,336,40,17,41,4,102,other
1262,Point Loma Nazarene College,CA,507,393,358,429,43,21,23,7,94,other
1264,Pepperdine University,CA,715,561,511,637,130,72,22,7,231,other
1302,Saint Mary's Coll. of Calif.,CA,614,494,404,500,38,55,42,0,135,other
1305,Stanford University,CA,952,658,519,824,533,139,145,0,834,other
1312,Univ.of Calif.-Berkeley,CA,764,513,433,650,834,229,209,0,1346,other
1313,Univ.of Calif.-Davis,CA,683,478,404,561,535,190,234,0,1072,other
1314,Univ.of Calif.-Irvine,CA,708,488,423,574,319,161,138,0,673,other
1315,Univ.of Calif.-Los Angeles,CA,741,497,421,609,817,267,298,0,1499,other
1316,Univ.of Calif.-Riverside,CA,670,461,390,514,183,80,140,0,441,other
1317,Univ.of Calif.-San Diego,CA,723,487,401,595,405,147,130,0,734,other
1319,Univ.of Calif.-San Francisco,CA,624,449,380,520,154,83,74,0,314,other
1320,Univ.of Calif.-Santa Barbara,CA,712,473,401,578,371,125,145,0,694,other
1321,Univ.of Calif.-Santa Cruz,CA,677,464,391,537,186,93,92,0,413,other
1322,University of Redlands,CA,566,468,406,488,49,19,39,0,109,other
1325,University of San Francisco,CA,617,486,405,514,129,59,80,19,287,other
1326,Santa Clara University,CA,763,555,487,578,85,117,90,0,324,other
1328,Univ. of Southern California,CA,802,574,484,641,485,354,286,27,1165,other
1329,University of the Pacific,CA,542,420,372,459,172,92,100,10,377,other
1341,Westmont College,CA,489,408,339,415,30,19,22,3,74,other
1342,Whittier College,CA,666,499,347,531,48,27,24,9,108,other
1343,Woodbury University,CA,NA,373,365,381,5,11,6,0,22,other
3948,San Francisco State Univ.,CA,599,483,397,541,451,133,117,8,709,other
7993,Cal.St.Univ-Bakersfield,CA,597,482,377,499,95,48,50,13,206,other
10395,University of San Diego,CA,719,533,452,575,105,72,76,12,265,other
11649,Loyola Marymount University,CA,722,558,414,589,130,90,83,3,310,other
1345,Adams State College,CO,436,356,321,360,29,21,40,8,98,other
1347,Colorado College,CO,613,488,398,525,63,38,26,1,134,other
1349,Univ. of Northern Colorado,CO,480,390,333,385,151,111,129,35,467,other
1350,Colorado State University,CO,598,447,403,517,483,255,188,0,926,other
1353,Fort Lewis College,CO,439,385,342,392,73,35,52,5,165,other
1358,Mesa State College,CO,429,353,297,340,49,31,37,7,145,other
1360,Metro. State Coll.of Denver,CO,480,406,351,418,159,90,111,8,370,other
1363,Regis University,CO,489,434,349,424,16,26,12,2,56,other
1365,University Southern Colorado,CO,474,422,360,397,47,45,63,15,170,other
1370,Univ. of Colorado- Boulder,CO,652,494,421,528,457,301,227,93,1081,other
1371,University of Denver,CO,623,479,430,509,142,106,101,6,378,other
1372,Western State Coll. of Colo.,CO,452,381,324,402,52,25,26,0,103,other
4509,Univ. of Colo. at Colo.Sprgs,CO,522,422,385,451,62,56,40,3,161,other
