county,state,acres92,acres87,acres82,farms92,farms87,farms82,largef92,largef87,largef82,smallf92,smallf87,smallf82,wgt
COFFEE_COUNTY,AL,175209,179311,194509,760,842,944,29,28,21,57,47,66,10.26
COLBERT_COUNTY,AL,138135,145104,161360,488,563,686,37,41,42,12,44,47,10.26
LAMAR_COUNTY,AL,56102,59861,72334,299,362,447,4,4,3,16,20,30,10.26
MARENGO_COUNTY,AL,199117,220526,231207,434,471,622,48,66,62,14,11,28,10.26
MARION_COUNTY,AL,89228,105586,113618,566,658,748,7,9,9,11,23,27,10.26
TUSCALOOSA_COUNTY,AL,96194,120542,134616,436,521,650,20,17,23,18,32,29,10.26
COLUMBIA_COUNTY,AR,57253,66305,80909,320,411,477,6,4,9,17,12,27,10.26
FAULKNER_COUNTY,AR,210692,223594,227593,1051,1103,1169,23,32,27,42,41,49,10.26
HOT_SPRING_COUNTY,AR,78498,80267,72175,419,526,512,7,5,5,15,35,18,10.26
MONROE_COUNTY,AR,219444,234605,235409,278,306,369,87,86,72,8,6,4,10.26
POLK_COUNTY,AR,122871,112409,113930,791,814,840,7,7,7,44,33,30,10.26
PRAIRIE_COUNTY,AR,313232,312903,301134,401,486,489,112,114,87,6,6,7,10.26
STONE_COUNTY,AR,136309,134351,114419,584,628,558,15,9,9,30,30,15,10.26
WASHINGTON_COUNTY,AR,352322,362670,345518,2539,2853,2784,29,26,16,201,232,195,10.26
AMADOR_COUNTY,CA,236222,218532,198135,367,371,359,32,39,34,34,31,39,10.26
MARIN_COUNTY,CA,168879,167590,165935,260,285,274,67,66,64,22,49,40,10.26
NAPA_COUNTY,CA,235290,258197,231037,1227,1197,1087,48,54,47,315,267,251,10.26
PLUMAS_COUNTY,CA,119514,88132,103289,125,109,112,26,22,24,12,16,14,10.26
SISKIYOU_COUNTY,CA,647446,669385,711269,689,765,796,124,144,138,37,44,44,10.26
YUBA_COUNTY,CA,234781,222748,212609,719,654,629,34,36,48,116,93,120,10.26
BENT_COUNTY,CO,796892,855503,761037,268,292,301,90,102,101,15,24,34,10.26
LINCOLN_COUNTY,CO,1660146,1615140,1492271,447,489,466,294,302,287,9,14,25,10.26
MONTEZUMA_COUNTY,CO,834018,843904,846678,661,623,622,70,76,68,33,49,35,10.26
SUMMIT_COUNTY,CO,38467,34368,38109,22,21,24,7,8,8,1,2,3,10.26
TELLER_COUNTY,CO,104010,83281,75437,81,67,65,19,21,17,7,5,5,10.26
CITRUS_COUNTY,FL,70672,74264,93183,288,331,293,11,9,14,55,46,45,10.26
COLUMBIA_COUNTY,FL,96968,98620,116586,523,535,573,12,13,14,38,34,36,10.26
HILLSBOROUGH_COUNTY,FL,265443,287951,329293,2760,2754,2748,45,51,48,812,786,741,10.26
OKEECHOBEE_COUNTY,FL,351885,384169,381895,418,400,326,75,79,80,75,58,31,10.26
BARROW_COUNTY,GA,35851,40233,39490,386,411,421,2,3,2,39,30,25,10.26
CHATHAM_COUNTY,GA,8518,10641,12715,40,51,59,4,4,5,10,8,15,10.26
COLUMBIA_COUNTY,GA,26984,27042,41605,154,187,222,5,5,9,20,22,14,10.26
EVANS_COUNTY,GA,40608,44076,55751,168,181,211,9,9,12,9,15,12,10.26
HABERSHAM_COUNTY,GA,36074,39886,42024,455,452,409,1,2,2,58,62,51,10.26
JEFF_DAVIS_COUNTY,GA,72626,75815,106265,263,284,394,9,10,18,11,26,32,10.26
LAURENS_COUNTY,GA,168051,179300,212563,599,622,803,35,33,38,38,23,28,10.26
LINCOLN_COUNTY,GA,32657,36282,43829,163,156,182,5,4,8,5,1,12,10.26
MARION_COUNTY,GA,45448,41517,44848,133,128,147,9,7,9,6,11,9,10.26
OCONEE_COUNTY,GA,51836,50545,60561,298,295,295,8,7,11,16,19,17,10.26
PUTNAM_COUNTY,GA,34746,42314,45227,166,174,167,5,8,9,8,11,5,10.26
SCREVEN_COUNTY,GA,138803,144990,184117,282,304,409,41,39,39,14,10,11,10.26
STEWART_COUNTY,GA,49043,47913,67679,97,99,111,11,10,15,7,0,6,10.26
TALIAFERRO_COUNTY,GA,19314,19096,22201,68,63,82,2,2,1,2,2,6,10.26
UNION_COUNTY,GA,21973,23141,28145,261,263,307,0,0,1,11,15,17,10.26
WALKER_COUNTY,GA,88829,95243,104909,527,563,584,7,6,11,23,26,25,10.26
WARREN_COUNTY,GA,47000,52582,59762,136,146,168,7,11,10,1,4,3,10.26
WASHINGTON_COUNTY,GA,111801,115320,133173,299,308,379,26,24,28,11,11,11,10.26
WILCOX_COUNTY,GA,115516,114903,113807,292,274,304,31,25,27,13,15,18,10.26
BENTON_COUNTY,IA,427215,419480,441810,1325,1434,1585,56,43,34,101,105,102,10.26
CEDAR_COUNTY,IA,338801,345483,349453,1099,1170,1323,40,28,32,91,103,111,10.26
FREMONT_COUNTY,IA,302352,308796,306786,596,719,771,91,72,51,37,59,50,10.26
GRUNDY_COUNTY,IA,317205,319657,320558,853,1037,1135,55,41,34,88,108,107,10.26
HARRISON_COUNTY,IA,399155,387190,408601,919,1024,1192,88,62,51,60,60,66,10.26
HOWARD_COUNTY,IA,260781,269285,278861,881,938,1055,40,33,30,68,64,70,10.26
POWESHIEK_COUNTY,IA,340982,335448,355718,933,1047,1152,56,47,40,64,85,86,10.26
RINGGOLD_COUNTY,IA,293266,285258,313971,676,701,776,67,56,43,17,34,33,10.26
ADAMS_COUNTY,ID,221209,207722,156465,271,257,218,41,44,39,45,31,16,10.26
BENEWAH_COUNTY,ID,111510,115100,124190,195,205,222,39,38,40,10,7,11,10.26
CARIBOU_COUNTY,ID,587693,587374,581254,384,428,455,120,125,120,22,25,27,10.26
CLEARWATER_COUNTY,ID,103246,134891,123802,210,216,219,24,25,22,9,4,5,10.26
GEM_COUNTY,ID,197176,222950,246028,531,539,543,38,40,42,63,65,69,10.26
NEZ_PERCE_COUNTY,ID,477839,473987,472509,345,405,433,102,121,117,41,52,63,10.26
CHRISTIAN_COUNTY,IL,390149,425925,412448,892,1051,1161,117,93,64,59,62,65,10.26
CLAY_COUNTY,IL,223764,219110,212325,670,719,894,45,37,21,28,32,47,10.26
COLES_COUNTY,IL,263425,286077,283420,700,833,915,74,57,44,50,56,49,10.26
KANKAKEE_COUNTY,IL,358920,389185,379052,928,1086,1173,82,70,58,69,62,76,10.26
MCLEAN_COUNTY,IL,709106,740964,745113,1616,1906,2126,176,141,98,91,105,117,10.26
MARION_COUNTY,IL,253916,251754,266579,861,950,1179,45,39,36,30,42,39,10.26
MERCER_COUNTY,IL,312128,325075,324630,812,933,1058,72,68,50,65,73,45,10.26
OGLE_COUNTY,IL,392639,415755,434941,1141,1312,1406,73,63,70,89,98,102,10.26
PULASKI_COUNTY,IL,82426,82301,88159,218,244,285,23,23,20,6,7,6,10.26
SANGAMON_COUNTY,IL,446750,493253,474352,1046,1277,1372,132,133,98,106,132,138,10.26
SHELBY_COUNTY,IL,402212,422071,420047,1305,1431,1599,73,61,43,76,93,81,10.26
STEPHENSON_COUNTY,IL,314886,339020,342099,1179,1290,1434,42,20,22,88,72,95,10.26
WASHINGTON_COUNTY,IL,297003,315971,302821,831,987,1057,57,48,33,40,60,38,10.26
BOONE_COUNTY,IN,223429,227524,225374,711,822,935,58,48,40,88,78,93,10.26
BROWN_COUNTY,IN,22555,25696,32503,168,200,232,1,1,0,9,7,11,10.26
ELKHART_COUNTY,IN,192311,204547,213225,1447,1556,1678,20,22,14,236,234,239,10.26
FOUNTAIN_COUNTY,IN,229097,234599,213576,633,693,707,57,54,38,45,37,35,10.26
GIBSON_COUNTY,IN,241049,248054,234332,720,846,895,67,56,41,43,68,70,10.26
